大洋世家,大洋世家,大洋世家是一家位于广州市的餐厅，人均消费139元。
FOOD,food,food：解作食品，是指各种供人使用或饮用的成品或原料，是人类生存和发展的最基本物质。所谓食品，实际上是指供人们饮食的，可维持、改善或者调节人体代谢机能，具有营养性、功能性、多样性的食物类产品。解释食品《食品工业基本术语》对食品的定义：可供人类食用或饮用的物质，包括加工食品，半成品和未加工食品，不包括烟草或只作药品用的物质。
丁马甲鱼,丁马甲鱼,丁马甲鱼，山东省临清市魏湾镇特产，中国国家地理标志产品。 丁马甲鱼，又名“黄运甲鱼”，因原产于魏湾镇丁马村的马家湖而得名。该地甲鱼养殖历史悠久，所产丁马甲鱼个大裙肥、肉细味美，是中国水产品第一个A级绿色食品。2007年，被国家质检总局认证为中华鳖惟一的国家地理标志保护产品。 
景明,景明,（500年正月-504年正月）是北魏的君主魏宣武帝元恪的第一个年号，共计4年。
大洋岛,大洋岛,大洋岛，镇政府所在地，是镇政治、经济、文化中心，，下辖四个城市社区，。景区青山连绵起伏，环境清幽、古迹聚集、文物荟萃，并保持原汁原味的渔家气息，集海、山、岛、礁、港于一身，融古、近和现代人文艺术于一炉，是都市人们休闲避暑的好地方。
绿地,绿地,绿地城市规划术语标准中指出，城市绿地是指城市专门用以改善生态，保护环境，为居民提供游憩场地和美化景观的绿化用地。绿地是城市绿地的简称，主要分为大类、中类、小类三个层次。具体分类因参考《城市绿地分类标准》CJJ/T85-2002。城市用地可分为：居住用地、公共设施用地、工业用地、仓储用地、对外交通用地、道路广场用地、市政设施用地、绿地、特殊用地、水面及其他用地
八神,八神,八蜡所祭之神。《礼记·郊特牲》“天子大蜡八”唐陆德明释文：“蜡祭有八神。”详“八蜡”。
山萃,山萃,山萃”品牌含义为“源于山水，萃其精华”，英文名称Sundry为中文的谐音
雪诺,雪诺,《雪诺》是由17k小说网连载的小说。
河洲,河洲,河洲镇位于祁东县东部，距县城45公里，东与常宁市隔河而望，南与祁阳县隔河相邻，面积63.5平方公里，耕地24800亩。
老先生,老先生,全书近20万字，除了记录全都生于八十年前的28位老先生外，涉及到的人物更是多达上百位。堪称从一个特殊的角度展现了一代知识分子的精神气质和家国情怀，为当代思想文化界影响力最大的一群“老先生”留下了宝贵存照。
渔港,渔港,渔港是为渔船停泊、鱼货装卸、鱼货保鲜、冷藏加工、修补渔网和渔船生产及生活物资补给而设的港口是渔船队的基地。渔港具有天然或人工的防浪设施，有码头作业线、装卸机械、加工和储存渔产品的工厂(场)、冷藏库和渔船修理厂等。 专供渔船和渔业辅助船停泊、使用的港口。用于船舶停靠、锚泊、避风、装卸渔获物和补充渔需及生活物资，并可进行渔获物的冷冻、加工、储运、渔船维修、渔具制造、通讯联络、及船员休息、娱乐、医疗等。
亚洲渔港,亚洲渔港,亚洲渔港（简称ASA），是中国最大的海鲜供应链企业。ASA总部设在大连，其业务涵盖水产品采捕、海产品养殖、生产加工、冷链物流及餐饮店经营等业务。亚洲渔港在国内海鲜供应领域占领导地位，多年来亚洲渔港为众多国际知名餐饮企业和连锁超市提供“海鲜一站式解决方案”，同时凭借其天然海鲜原料的卓越品质、纯正地道的中西风味、先进的海鲜食品加工技术，享誉国内近五万家超市及餐饮门店。2017年9月，亚洲渔港被国家商务部评定为“2017-2018年度电子商务示范企业”。 
YUMMY HOUSE,Yummy House,
AMBROSIA,ambrosia,Ambrosia起源于1991年，是法国新兴的珠宝品牌。Ambrosia起源于1991年，是法国新兴的珠宝品牌。Ambrosia开启了珠宝首饰行业的时尚风潮。产品全部从法国出口到美国，欧洲，中东以及亚洲。Ambrosia虽然不是一个历史悠久的品牌，但它却拥有一种从古至今女性对美的执著。AMBROSIAPARIS拥有色彩斑斓的产品，其中包括手表、手链、项链、戒指、耳环、手袋等。
云湖,云湖,云湖，俗称北爷门湖，位于广东省揭阳县棉湖东南。旧云湖面积约百余顷，水深l～5米，水色清碧如玉。湖内分布四个小岛，或称小洲更为恰切。
木屋烧烤,木屋烧烤,木屋烧烤，2003年创立于深圳，是正君餐饮旗下的品牌，主营中式烧烤，立志为顾客提供美味可口的烧烤和愉悦的用餐体验。公司发展至2016年，成功在北京、上海、广州三大一线城市开设直营分店60家（包含深圳32家，北京17家、上海2家、广州5家、天津3家），2家标准化食品加工厂，并在深圳、北京、上海设立三个网销部门为顾客提供烧烤半成品服务。
鱼酱,鱼酱,鱼酱是黔东南苗族自治州雷山县永乐区的传统调味品，又名永乐鱼酱或糟辣鱼酱。鱼酱是苗族传统烹调佳品。具有酸、甜、咸、香的风味，炒菜或煮火锅时放入适量鱼酱，菜肴会特别鲜美，不仅能增进食欲，更有健胃作用。
金世尊,金世尊,金世尊 于2008年成立于国际大都市上海，金世尊品牌坚持“金牌品质，以客为尊”的原则。不投机取巧，不图谋暴利，不盲目跟风，不以次充好，，从不哗众取宠，坚持自己的选择，肩负自己的责任，励精图治，苦练内功。争做阳澄湖大闸蟹品牌的一面旗帜。金世尊是一家专业的从事福利、礼品的服务机构。公司主要为企事业单位和个人提供正宗的阳澄湖大闸蟹，公司提供多种规格的阳澄湖大闸蟹礼券，每张礼券都可以享受免费送货上门的优质服务。
富爸爸,富爸爸穷爸爸,《富爸爸穷爸爸》是2011年在南海出版社出版的图书，该书作者是（美）罗伯特·清崎、（美）莱希特，译者是萧明。 
星云湖,星云湖,星云湖位于江川县城北1公里处，与抚仙湖仅一山之隔，一河相连，俗称江川海。湖面海拔高出抚仙湖1米，该湖南北长10.5公里，东西平均宽3.8公里，最窄处2.3公里，湖岸线长36.3公里，总面积为34.71平方公里；平均水深7米。最大深度10米，透明度约1.5米。由于湖水碧绿清澈，波光妩媚迷人，月明之夜，皎洁的月光映照湖面，如繁星闪烁，坠入湖中，晶亮如云，故而取名为星云湖。星云湖属营养性湖泊，是发展水产养殖业的天然场所，也是云南省较早有专业部门繁殖和放养鱼类的湖泊。
清水,清水,清水，地名。全国有多处名叫“清水”的地点。作为河流名称的清水，古今也有多条。主流的两条叫清水的河流分别是：清水，古地名，是古济水自钜野泽以下的那一段河流，发源于古代的清河郡，大致流经于今河北、山东、河南境内，今已被黄河占道。 清水，今地名，青弋江、水阳江两江之水在此交汇，位于青弋江下游，芜湖市城东，形成清浑分明两种水色。
鲜伶伶,鲜伶伶,鲜伶伶，汉语词汇，拼音为xiānlínɡlínɡ，释译为色泽鲜明而富有生机的样子。
三有,三有,三有者。谓欲界色界无色界。六道众生。各随所作善恶之业。即感善恶之报。因果不亡。故名为有。(六道者。天道。人道。修罗道。饿鬼道。畜生道。地狱道也。)
紫渔,紫渔,紫渔，是常熟市著名的阳澄湖大闸蟹养殖商家，归一对王姓兄弟所有。2011年，哥哥当兵回乡，弟弟毅然决定与大哥一起经营蟹塘，并把蟹塘正式命名为“紫渔”。
鄱阳湖,鄱阳湖,鄱阳湖是中国第一大淡水湖，位于江西省北部，面积3960平方公里，国家AAAAA级旅游景区。湖的西北是避暑胜地庐山。鄱阳湖旅游景区，主要指湖区内的景点及自然保护区整体。湖区有41个岛屿和七个自然保护区。保护区内鄱阳湖候鸟已达300多种，近百万只，其中珍禽50多种，已是世界上最大的鸟类保护区。世界上现有白鹤大约为4000多只。其中90%在鄱阳湖越冬。鄱阳湖是白鹤的世界，水鸟的天堂。鄱阳湖是长江江豚重要栖息地和种质资源库，江豚数量稳定，种群结构合理，属于长江江豚的优质种群。截止2016年，鄱阳湖现有江豚数量为450头左右，是洞庭湖拥有江豚数量的5倍，占全中国一半。 
鲜阳,鲜阳,鲜阳是汉语词汇，读音为xiānyáng，意思是复姓。
东来顺,东来顺,中华老字号“东来顺”，始建于1903年，1955年实现公私合营。1988年以东来顺品牌为核心的北京东安饮食公司成立，公司发挥老字号品牌优势，涉足连锁产业开发、品牌半成品、成品研发等领域，为企业的可持续发展注入了活力。1996年，东来顺连锁总部成立，老字号东来顺走上了特许加盟的连锁发展道路。2011年8月，北京东来顺店面被消费者举报勾兑“鲜榨果汁”。
昌茂,昌茂,昌茂，读音为chāngmào，汉语词语，释义为兴旺。
涨潮,涨潮,涨潮是一种自然现象。海水有涨潮和落潮现象，涨潮时，海水上涨，波浪滚滚，景色十分壮观；退潮时，海水悄然退去，露出一片海滩。涨潮和落潮一般一天有两次。海水的涨落发生在白天叫潮，发生在夜间叫汐，所以也叫潮汐。中国古书上说“大海之水，朝生为潮，夕生为汐”。在涨潮和落潮之间有一段时间水位处于不涨不落的状态，叫做平潮。
东远,东远,东远 ，株式会社东远企业 注册的商标品牌，主要商品服务有金枪鱼、鱼制食品。 
威尔斯,邦奇·威尔斯,邦奇·威尔斯（BonziWells），1976年9月20日出生于美国印第安纳州曼西，美国职业篮球运动员，司职得分后卫/小前锋，效力于美国BIG3联赛TRI-STATE队。 1998年，邦奇·威尔斯在第1轮第11位被活塞队选中，先后效力于NBA波特兰开拓者队、孟菲斯灰熊队、萨克拉门托国王队、休斯敦火箭队以及夏洛特黄蜂队，在NBA场均贡献场均贡献12.1分和4.6个篮板。2008-2009赛季加盟CBA山西中宇队，在山西队场均贡献34分 。2010年，邦奇·威尔斯宣布退役。 2017年，邦奇·威尔斯加盟美国BIG3联赛TRI-STATE队。 2018年4月13日在BIG3选秀中以第18顺位的身份被TRI-STATE队选中。 
蓝越,蓝越,《蓝越》是连载于幻剑书盟的网络小说，作者是幻幻。
金凤成祥,金凤成祥,金凤成祥食品有限责任公司创建于20世纪90年代，创始人为现任总经理冯智钧先生。公司自成立以来一直坚持“立足以人为本，以‘高效率、高标准、高品质’严格要求企业全体员工，力争为广大消费者提供最完善的产品与服务”的经营宗旨，秉承台湾西饼业制作风格，借鉴欧洲西点制作工艺，稳健经营，务实创新，迅速发展成为一家拥有近千名员工、一座大型中央工厂、两百多家独立投资店铺的食品连锁经营企业。
蟹行天下,蟹行天下,《蟹行天下》R注册商标隶属于，丰旺（上海）实业有限公司。公司成立于1995年。大闸蟹行业中的领军企业，销售网点遍布全国直接送达500个城市。养殖、销售、售后、线上、线下达到一体化，实现了全国第一是时间免费送货到家。门对门的服务，让客户足不出户，享受到贵宾级待遇。
阳澄之王,阳澄之王,阳澄之王，为阳澄湖大闸蟹的品牌之一，获得了中国国际专利与名牌博览会金奖。
水玲珑,水玲珑,《水玲珑》是由杨权执导的古装片，李赛凤、刘子蔚、午马等参演。玲珑孽怨玲珑女，玲珑孽缘血玲珑，玲珑小，小玲珑，一条船玉玲珑，玉玲珑咖啡酒轩，天敏视玲珑，漂亮女戏班主不满恶霸当场调戏、欺凌，率领戏班展开一场恶斗，伤亡惨重，戏班被打散了，女戏班主也在火海中消失……20年后，该地又来了一个戏班，活生生演出一场怨孽相报。 
爱伦湾,爱伦湾,爱伦湾位于“海带之乡”山东荣成，地处北纬37度，湾口和桑沟湾相接，具有“生态示范海湾”之称。
元宝岛,元宝岛,元宝岛面积0.14平方公里，因其地理形状酷象元宝而得名。元宝岛的东端是享有盛名的观鸟台。
虾皇,虾皇,虾皇是一间主营鄂菜的餐馆，该餐馆位于潜江市。
宫御海参,宫御海参,宫御海参成立于1988年，总部坐落于“中国绿色食品城”山东烟台。经过二十余年的稳步发展，宫御海参成为一家涵盖海参捕捞加工、海参产品开发，海参自有品牌网络营销等业务的大型现代化新型企业。2012年初，宫御海参企业发展战略转型，斥巨资设立孕婴营养研究中心，针对海参/孕婴营养这一交叉细分学科，在海参品种、产地、工艺、食用方法四个方面进行深入研究，专注于孕产妇专享海参的开发，致力于为广大孕期女性提供针对性强、品质高的海参产品和专业的食用方法。
兴城多宝鱼,兴城多宝鱼,兴城多宝鱼系辽宁省葫芦岛市以兴城为主产区养殖的多宝鱼，是地理标志产品。它原产于欧洲大西洋海域，学名“大菱鲆”，俗称比目鱼，以其营养丰富，味道鲜美著称于世。92年由雷霁霖院士引进中国，改名为象征“多宝多福”的多宝鱼，2001年，多宝鱼落户葫芦岛兴城这个美丽的地方。 
其它,其它,其它，即"其余的它者"，物主代词。在“其他”作人称代词时，其他与其它是区别的；在“其他”表示其余者而用于物称时，二者就可以换用。古汉语里有的也写作“其佗”，佗是物主代词，如《左传·隐公元年》”佗邑唯命“，它也是物主代词，如《后汉书·列女传》”无它异“。佗、它通假而用，类似通假在先秦秦汉是普遍现象。古汉语不区分其他与其它，现代汉语里他作为人称代词而它作为物主代词了，因此，在现代汉语环境，谈物时，用“其他”是继承古代用法，用“其它”是新环境里的合逻辑用法，都可以。
嘉瑞,嘉瑞,嘉瑞，本品为苯甲胺衍生物，其作用机制为选择性地抑制真菌角鲨烯环氧化酶，干扰真菌细胞壁的麦角固醇的生物合成，影响真菌的脂质代谢，使真菌细胞损伤或死亡而起到杀菌和抑菌作用。
仰天雪绿,仰天雪绿,仰天雪绿属于绿茶类，于1982年至1984年连续试制，产于河南固始县祖师庙镇仰天洼茶场。其加工工序包括摊青，杀青，做形，干燥等步骤。仰天雪绿茶含有多种成分，其中每百克茶叶中含Vc为100～500毫克，Vc又是解毒、防辐射、防重金属伤害、防疲劳和防感染的能手，并能抑制最终致癌物的形成和癌细胞的增殖。
朋来,朋来,
明威,明威,明威，拼音为míngwēi，汉语词汇，是上天圣明威严的旨意的意思。出自《书·多士》。
mw,MW,MW代表兆瓦，即millionwatt'的缩写。还有"kw”代表“千瓦”。其中的换算关系为：1Mw=1000kw，1kw=1000W1Mw=1000000w，1MW=0.1万kw（电站功率常用数据）
巢湖,巢湖,巢湖市位于省城合肥的南部，是合肥市代管的县级市。其西南滨巢湖周边分别与肥东、全椒、含山、庐江、无为接壤。 截至2015年总人口92万人，面积为2046平方千米 。巢湖历史悠久，人杰地灵。古称“居巢”、“南巢”，“成汤放夏桀于南巢”即出于此，文字记载的历史有3000余年。巢湖之称始于秦朝，唐朝设立巢县，1984年设立县级巢湖市，1999年7月9日升为地级市改称居巢区，为地级巢湖市委、市政府所在地。2011年8月撤销地级巢湖市，设立县级巢湖市。2016年，巢湖市完成地区生产总值268.7亿元，按可比价计算，同比增长9.1%，超过市人代会目标0.1个百分点，增速比三季度提升2.0个百分点。安徽“十三五”规划将适时撤销巢湖市，设立合肥市巢湖区。 2017年11月，获评全国文明城市。 
三角州,三角州,三角州位于尼日利亚西南部，1991年8月27日建州，首府阿萨巴（Asaba），三角州的油气储藏量十分丰富。
蜜泉湖,蜜泉湖,蜜泉湖在湖北省咸宁市嘉鱼县县城西南6.5公里，官桥、高铁、鱼岳三镇之间，东、南、西三面均系残丘环绕，北为江流淤积平原。蜜泉湖汇周围地表径流，承雨面积84平方公里，湖面12.5平方公里，容积2375万立方米，为县境内第二大湖泊。
黄河稻夫,黄河稻夫,黄河稻夫天然有机农场，位于有“中国第一米”产地之称的河南省原阳县，占地2000多亩，紧临黄河北岸9米悬河段，是黄河湿地附近最适宜出产优质大米的核心区域，也是东汉时期贡米核心产地。黄河稻夫天然有机农场，总投资3亿多元以“缔造天然有机食品，捍卫餐桌安全”的战略思维，借助区域天然的地理优势和独特的农业优势，将传统农耕的优势与现代农业科技相结合，不断探索和发展中国现代农业新模式，倾力打造中国顶级的天然有机大米及系列天然有机食品。 黄河稻夫天然有机农场以有机无公害农业、科学苗木培育、生态养殖、休闲观光为主，并重点开发具有重要社会价值和生态价值的苗木花草栽培移植、新型农业种植经营等业态，是一个集高效农业、有机农业于一体，规划科学、开发合理、生态优美的新型生态农业示范区和重要的苗木、食品供应基地。公司将引进现代管理经验、资金和技术，推动产业结构调整和优化升级，将生态农场打造成集“有机生态米，有机生态禽、蛋、肉、鱼，园林苗圃培育，生态休闲观光”为一体的中国现代农业有机生态农场示范基地。
京饷,京饷,太平天国期间，清皇室下放军权，后因未下放财权致使地方政策无法在复杂局势中施行，辛酉政变后下放财权。后果造成传统“奏销”制度名存实亡，中央为确保财政收入制定“京饷”定额，虽为硬性摊派，但是变相承认定额所剩的财政收入便归地方所有。中央不过问“京饷”来源税种，致使地方税种繁多，百姓难以维护生计。
鳗生活,鳗生活,
海边日记,海边日记,《海边日记》是一部小说，作者是馨兰，连载于心动言情网。
xy,XY,XY是一个为男性消费者提供一站式生活用品解决方案的跨境电商平台APP。该平台最主要的品类是鞋、表和包袋，此外还包括护肤品、3C数码和一些长尾的新奇特商品等，定位客单价600~1500元的中端市场 。
盐阜,盐阜,江苏盐阜区成立于1941年（民国30年）9月1日。因行政公署设立在阜宁县陈集，所以取其“阜”字，称为“盐阜”。“盐阜”一词由此而来。
美滋滋,美滋滋,
徽厨,徽厨,
好运岛,好运岛,千岛湖，好运岛位于新安江城西，是新安江水电站建成后形成的人工湖。
骏德,骏德,骏德，读音是jùndé，汉语词语，出自南朝·齐·王融《赠族叔卫军俭诗》，形容高尚的德操。
idg,IDG,美国国际数据集团（InternationalDataGroup）是全世界最大的信息技术出版、研究、发展与风险投资公司。IDG公司2005年全球营业总收入达到26.8亿美元。IDG集团公司创建于1964年，总部设在美国波士顿。
海欣,海欣,海欣，女，汉族，毕业于上海戏剧学院。主持人。
高丽岛,高丽岛,高丽岛(Kooraijima)来自于日本有名的神话传说之一的岛屿
白沙滩,白沙滩,中国白沙滩所以得名是因为细白如银的沙滩，怡人的海洋气候，美丽的海岸风光而得名，由于其地理位置的特殊性，白沙滩镇，现在又成乳山市银滩旅游度假区位于乳山市东南海岸，东接威海，北临烟台，西近青岛，南涉黄海，位于青岛、烟台、威海三市中心位置，航空、海上、陆路条件十分便利。
奢忆,奢忆,奢忆 是浙江振申食品有限公司 旗下品牌，于2016年5月11日 注册成功。
喜乐田园,喜乐田园,《喜乐田园》是青豆豆创作的网络小说，发表于起点网。
蟹状元,蟹状元,蟹状元是上海券耕贸易有限公司旗下阳澄湖大闸蟹品牌商标。公司成立于2009年，是苏州阳澄湖大闸蟹协会常务理事，主要经营蟹状元品牌阳澄湖大闸蟹，阳澄湖大闸蟹礼卡/礼券/礼盒。公司总部设于上海，并在北京、深圳、广州、天津、重庆、济南、西安等全国各大城市设有销售直营分店。
一日三餐,三时三餐,《三时三餐》是韩国tvN电视台出品的自给自足有机农业生活实境综艺节目，出演成员远离城市生活，来到农村（玉泽演，李瑞镇）和渔村（车胜元，刘海镇，孙浩俊）自给自足解决三餐问题 。《三时三餐》分为农村篇和渔村篇，农村篇从2014年10月17日至2014年12月26日播出；渔村篇从2015年1月23日至2015年3月13日播出。《三时三餐》第二季于2015年5月15日开播，具体详情请进入百科《三时三餐第二季》查看。
百年栗园,百年栗园,百年栗园是家家常菜餐馆，位于北京市密云区穆家峪镇后栗园村口往东500米。
澄湖之心,澄湖之心,“澄湖之心”是著名的阳澄湖大闸蟹品牌，以主营阳澄湖大闸蟹而享有盛誉。
渔家故事,渔家故事,渔家故事是一家餐馆名称，位于衡阳市。
上古神,上古十大神器,上古十大神器，系列单机游戏《轩辕剑》中一个独特的设定，最早出现于《轩辕剑叁外传：天之痕》。上古时代，中原诸神在神州大陆上残留下十样古老神器，它们分别是：东皇钟、轩辕剑、盘古斧、炼妖壶、昊天塔、伏羲琴、神农鼎、崆峒印、昆仑镜、女娲石，各自拥有惊人而独特之不世力量。 
熊北鼻,熊北鼻,
文和友,文和友,文和友是湖南文和友文化产业发展集团有限公司旗下的品牌。 文和友致力于传统民俗餐饮文化的研究，挖掘地域民间小吃， 结合潮流文化，形成“文和友餐饮模式”。 品牌拥有文和友老长沙油炸社 ，文和友老长沙龙虾馆 ，文和友大香肠 ，文和友臭豆腐 ，胡嗲单车烧烤 ，MĀMĀCHÁ 、文和友老长沙外卖 等系列。
海霸王,海霸王,海霸王国际集团是一家集冷冻食品、娱乐、房地产为一体的台商独资企业，其大陆总部于1994年成立。公司拥有欧美、瑞典和日本等世界最新科技的速冻食品生产设备，在全国各大城市设有分公司，拥有物流配送车辆300多部及员工3000多名。公司采用物料产地化、人事本土化、价格大众化、生产自动化、事务电脑化、产品标准化等《六化》管理模式，历经十余年的不懈努力，已经发展成为国内速冻食品行业中的龙头企业。自1975年在董事长庄荣德先生的带领下，先后在台湾、上海、汕头、成都、重庆、北京、沈阳等地成功经营连锁店上百家。
聪厨,聪厨,湖南新聪厨食品有限公司是一家集特色餐桌食品研发、生产、销售于一体的综合型企业。
Trident,三叉戟客机,“三叉戟”客机是英国德·哈维兰公司研制的中短程三发喷气式民航客机。最初德·哈维兰公司将其命名为D.H121，后改为“三叉戟（Trident）”。给飞机取名“三叉戟”，据说设计人员的灵感是来源于飞机有三套独立的飞行控制系统和三台发动机。中国在1970年代引进“三叉戟”客机，是“三叉戟”客机主要用户之一。
三山浦,三山浦,据史料记载，汉初（约公元前190年），大连是一个小渔村，名叫“三山”，指大连湾外的三山岛：唐初称“三山浦”；唐中期改称“青泥浦”；明朝和清朝前期称“青泥洼”；清朝中期，开始称“大连湾”；1898年3月沙俄强租大连后，称之为“达里尼”（意“遥远的”地方）；1905年2月始称“大连市”。大连市名称来源于大连湾。为什么叫大连，说法较多。
白云湖,白云湖,白云湖位于广州市白云区，是二十一世纪以后该市建设的第一个人工湖，属民生治水项目。广州白云湖湖区面积约3000亩，水、陆域各半，是该市中心城区水域面积最大的人工湖。广州白云湖是一个水利工程综合体系，由广和泵站、引水渠、湖区（具体包括东、西两片湖区和工湿地）、石井河泵站（船闸）四大主体水利工程构成。主要作用是对周边河涌进行生态补水，同时兼具雨洪调蓄和休闲景观的功能。广州白云湖已成为一座以自然生态为特色的大型综合性水利公园，未来，将进一步发展成为集水安全、水生态、水景观、水文化于一体的水利工程风景区。 
煌上煌,煌上煌,江西煌上煌集团食品股份有限公司创建于1993年，是一家以畜禽肉制品加工为主的食品加工企业。2012年9月5日，煌上煌上市。集团公司主业产品已形成酱制、卤制、烧烤、凉拌、包装五大系列100多个品种，具有鲜、香、辣、酥的特点。
波波,波波先生,波波先生（日文：ミスター・ポポ） 是鸟山明名作《龙珠》里的角色，是神仙的仆人和伙伴，长年居住在神殿，曾经训练过孙悟空、天津饭、小林等人。
BOBO,BoBo,BoBo，中国内地男子演唱组合，由井柏然、付辛博组成。2007年，推出组合首张EP专辑《光荣》 ；同年，获得“第二届星光大典”最具潜力组合奖 。2008年，推出组合首张音乐专辑《世界之大》 ；同年，获得“首届中国海西时尚娱乐盛典”最具人气组合奖 。2009年，出演百集校园情景剧《青春进行时》 。2010年，推出组合第二张音乐专辑《Let'sBOBO》 ；同年，宣布单飞不解散，成员各自发展。2012年8月，组合正式解散 。
澳门豆捞,澳门豆捞,浙江凯旋门澳门豆捞控股集团有限公司总部，总部位于浙江省杭州市萧山区金城路628号心意广场。是一家集特许经营、餐饮管理、火锅文化研究、新菜品的开发、专业厨师培训及物流配送为一体的综合性企业。下属机构有200余家澳门豆捞连锁餐饮精品、中餐精品（北京金鹰汇馆、郑州凯旋门大酒店）、及澳门豆捞休闲会所等。随着企业的发展我们逐步凝聚了一个坚强团结的团队，齐心协力、努力攀登，我们每一步都力求稳健，并为每一名豆捞员工提供发展事业的平台，为了这一目标，我们惟有加倍努力。澳门豆捞依其自身强有力的市场竞争力、完善的管理体系、专业的技术培训、稳定的配送体系，现已涉足河南、河北、山东、吉林、山西、内蒙、上海、福建、陕西、江西、浙江、安徽、江苏等多个省份，在同行业产生了一定的影响力。成立于1998年10月，是一家以经营连锁餐饮及娱乐为主的大型集团公司，下属机构有200余家澳门豆捞连锁餐饮精品、中餐精品（北京金鹰汇馆、郑州凯旋门大酒店）、及澳门豆捞休闲会所等。集团汇集了餐饮界与娱乐界诸多专业人士和资深营运专家，对集团旗下各酒店的经营管理进行全面指导和专业策划。“豆捞”的意思并非字面上的豆制品，而是蕴涵着大家一起都来捞，捞财捞宝捞运道，象征着吉祥如意招财进宝。澳门豆捞秉承澳门火锅之精华，将全世界各地的深海海鲜融入一脉相承的古老秘方特色汤底中，加上现代技术的科学配制，澳门豆捞造就了具有都市风情特色的至尊火锅文化。
