天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
雅格,雅格,雅格（YAGE）是广东省著名商标，国内著名品牌企业。广东太格尔电源科技有限公司成立于1998年，旗下雅格手电筒、台灯、电蚊拍、手提灯、照明灯、随身电源、LED节能灯等光电源产品畅销国内外，雅格电器已成长为家喻户晓的消费品牌。
群力,群力,群力是一个汉语词汇，形容众人的智慧和力量。
虎星,虎星,虎星，是英国作家艾琳·亨特作品猫武士里的一个反派角色，性格凶残、狡诈、敏感，帅气富有魅力。
途安,途安,途安是2003年诞生在大众PQ35平台上的新车，这次进入国内市场，上海大众为其专门打造了MPS（多功能轿车）的新概念。虽然与SMPV的叫法不同，但它们都是诞生在轿车平台上的多功能车型，既具备轿车的舒适性又有MPV的多功能性。相比MPV，多功能轿车（MPS）大量运用轿车制造的成熟技术和设计理念，在能耗、环保、舒适性以及细节上都直接媲美轿车工艺，同时在空间设计上也大量吸纳轿车空间设计的人性化理念，内部空间不仅大而且舒适、体贴，可以满足不同情景的感受需要。途安Touran的名称来自于“Tour”（旅行）与“-an”（代表多用途）的组合，意寓它是一款强调舒适旅行（Tour）的多用途（-an）车辆。大众途安一直都是欧系MPV的代表作，兼具舒适性与操控性。新途安主打1.8T和2.0L两大主力排量。
BEAL,BEAL,自从YannickSeigneur的加盟，以及后来在PatrickEdlinger时期的飞速发展，BEAL绳索的故事已经成为激情和研究的象征。
澜涛,澜涛,澜涛，中国作家协会会员，鲁迅文学院第十一届高研班学员，1998年开始发表作品，迄今已发表作品五百余万字，出版作品集十余部。
山羊,山羊,山羊（学名：Capraaegagrushircus）又称夏羊、黑羊或羖羊，和绵羊一样，是最早被人类驯化的家畜之一。中国山羊饲养历史悠久，早在夏商时代就有养羊文字记载。山羊生产具有繁殖率高、适应性强、易管理等特点，至今在中国广大农牧区广泛饲养。改革开放以来，中国山羊业发展迅速，成就显著。中国山羊分布的地区广，遍及全国，全国有一半以上的省（区）山羊头数超过绵羊。南方一些省（区）不能养绵羊的地方却可以养山羊。山羊会改变植物社群与森林结构，且会将疾病传染给原生的动物，国际自然保护联盟物种存续委员会的入侵物种专家小组（ISSG）列为世界百大外来入侵种。
golden goose,golden goose,黄金鹅，品牌名，由自学而成的设计师AlessandroGallo和FrancescaRinaldo于2000年创立。
碧海,碧海,碧海，传说中的海名。蓝色的海洋。也指青天。天色蓝若海，故称。出处《海内十洲记》：“扶桑在东海之东岸。岸直，陆行登岸一万里，东复有碧海。海广狭浩汗，与东海等。水既不咸苦，正作碧色，甘香味美。”宋苏轼《登州海市》诗：“斜阳万里孤鸟没，但见碧海磨青铜。”宋晁补之《洞仙歌·泗州中秋作》词：“青烟幂处，碧海飞金镜。”
比德文,比德文电动车,比德文电动车是山东比德文动力科技有限公司旗下品牌。经过十余年的品牌建设，比德文依据市场发展需求和消费者生活理念成功完成了“从走的再远离家也近”到“只走快乐路线”到“品质生活新方向”的品牌战略转变，每年有超过80款自主研发产品投入市场，满足消费者的日常需求，终端5C产品体验中心超过3000余家，在品牌传播上通过央视及九大卫视的高点高密集精准传播，同时在传播模式的创新上开创植入品牌营销新模式。2013年底经国际权威机构认证品牌价值达68亿元。 
斯伯丁,SPALDING,创始人AGSpalding先生，斯伯丁（SPALDING）先生于1850年诞生于美国伊利诺州：17岁时加盟华盛顿、纽约等职业棒球队，1871年加入波士顿红袜队并成为主力投手，在1872年~1875年间带领波士顿红袜队完成三连胜的霸业。此后，SPALDING先生一直致力于纠正棒球界中的暴力、贪污等腐败现象，此举让他成为美国人民心目中的英雄，而棒球也渐成为美国人的梦。
EASYDO,EasyDo,《EasyDo》是一款Android平台的应用。
MokyMuky,MOKYMUKY,
阿珂姆,阿珂姆,ACOME是一个户外品牌年轻、健康、追求品位，注重亲情、友情、爱情，向往自由。为每个人的生活添加户外的色彩，为每个人的梦想增加自由的动力。从ACOME诞生的那一天起，做功能专业、设计时尚，适合大多数人生活的全系列户外运动服饰和装备品牌就成了ACOME一直坚持的目标。
ACACIA,金合欢属,金合欢属（学名：AcaciaMill.），含羞草科，乔木或灌木，有刺或无刺，有时攀援状；叶常为二回羽状复叶，或叶片退化而叶柄变为扁平的叶状体（Phyllodium），但在幼苗期仍可见原始状态的羽状叶，如台湾相思；花5数，两性，花序为腋生、单生或为圆锥花序式排列的头状花序；萼钟状或漏斗状，具齿；花瓣分离或合生，有时缺；雄蕊多数，分离，突出；荚果长圆形或线形，无节，扁平或肿胀。该属模式种是阿拉伯金合欢A.nilotica(Linn.)Delile。金合欢属约800-900种，广布于全球的热带和亚热带地区，尤以大洋洲及非洲的种类最多，中国连引入栽培的有18种，产于西南和东南部。金合欢属中比较有经济价值的有金合欢A.farnesiana(L.)Willd.和台湾相思A.richiiGray，前者的根和荚可为黑色染料，花可制香水，后者为荒山造林树种，材供制器具用，树皮含单宁，提取之可为鱼网和布的染料。此外，阿拉伯胶树A.senegal(L.)Willd.和儿茶A.catechu(L.f.)Willd.可提取阿拉伯胶和制成儿茶浸膏，用于医药、印染和食品工业。 
VMAX,Vmax,山叶公司在1985年推出的VMAX型摩托车排量1200cc，（实际数据1198cc）23年之后推出第二代产品，排量为1700cc（实际数据1679cc）。VMAX1985-2006日本版马力是98HP。不同年份的加拿大版马力分别是130HP/135HP/138HP。欧洲版则是140HP和145HPfullpower版。后期日本逆输入版也是145HP欧洲fullpower版。第二代VMAX首次出现于05年东京车展，三年后落实投产的VMAX，保留了90%原著概念精神。第二代VAMX虽然同样以水冷V4机器为基本配置，但排气量由1198cc提升至1679cc，压缩比由10.5增至11.3:1，马力增至200ps，扭力由10.5kg-m提升至17kg-m。
TUNTURI,Tunturi,Tunturi(中文译名“唐特力”)历史悠久.始创于1922年，位于芬兰海岸城市土尔库(TURKU)，在芬兰语中Tunturi指的是高地，在健身器材领域有43年的历史，欧洲第一大健身器材供货商，2003年加入Accell集团(为在阿姆斯特丹上市的集团公司)。
帕尼尼,帕尼尼,帕尼尼（Panini）是意大利文，是意大利一种传统三明治，用意式面包夹好馅料后，再放在专门作帕尼尼的烘烤机中加热压烤成热的三明治。结合传统的美味与现代新鲜，帕尼尼风行于欧洲及美国东部。
congrazio,congrazio,著名品牌“congrazio”（格瑞吉奥），来自意大利的原创设计，所属思汇服饰有限公司。congrazio品牌，走年轻精英路线的理念，崇尚面料的质感、品味及机理效果，以求体现和改善人与服装的和谐统一。把追求服装的精致设计和塑造冷酷俊俏的外形为己任。
Vibram,vibram,vibram是意大利著名的橡胶生产厂商，vibram专门为鞋底设计的橡胶以出色的耐磨性、良好的防滑性、均匀的质地获得了世界众多制鞋厂商的认可。1935年，意大利人VitaleBramnni带领一队攀山队在阿卑斯山探险时遇上大风雪，其中六人因无法及时下山而死亡，Vitale事后，认为是当时所使用的登山鞋所造成的，那时的登山鞋底是由皮革所制成的，然后再在皮底上钉上钢钉，使用起来非常的笨重与不方便。也因为这个悲剧，让VitaleBramnni致力于开发新一代的登山鞋底。
斯莱德,斯莱德,Shredder曾和Splinter是最好的朋友，但因为情敌关系最终决裂。 
BATMAN,布鲁斯·韦恩,布鲁斯·韦恩（BruceWayne）即蝙蝠侠（Batman），是美国DC漫画旗下超级英雄，初次登场于《侦探漫画》（DetectiveComics）第27期（1939年5月），由鲍勃·凯恩（BobKane）和比尔·芬格（BillFinger）联合创造，是漫画史上第一位没有超能力的超级英雄。出生在哥谭市四大家族之一的韦恩家族中。一天晚上，父母带着年幼的布鲁斯看完电影《佐罗》回家，途经一条小径时遭遇歹徒的抢劫。歹徒当着布鲁斯的面枪杀了他的父母。从此，布鲁斯便产生了亲手铲奸除恶的强烈愿望，为了不让其他人再遭受到与自己同样的悲剧，凭借着过人的天赋，布鲁斯利用几十年时间游历世界各地，拜访东西方顶级或传说中的格斗大师，学习各流派格斗术，后回到美国，利用强大的财力制造各种高科技装备。此后在白天，他是别人眼中的无脑富二代、花花公子；夜晚，他是令罪犯闻风丧胆的黑暗骑士——蝙蝠侠（Batman）。 
PRIDE,冰上恋人,《冰上恋人》（プライド）是日本富士电视台于2004年1月12日至3月22日期间播放的冰球类爱情电视连续剧。由中江功、泽田镰作等人执导，野岛申司编剧。由木村拓哉，竹内结子等人主演。 该剧通过冰球运动讲述了一部带有泪水和欢笑的青春爱情励志剧。 
十字军,十字军,十字军（TheCrusaders），由天主教士兵组成的军队，曾参加十字军东征，士兵都佩有十字标志，因此称为十字军。以教宗为首的教会上层教徒是十字军东征的思想鼓动者和总的策划者。他们利用宗教狂热极力扩大罗马教廷的政治影响，企图将拜占庭帝国东正教置于自己的控制之下，并力图通过掠夺东方国家领土和建立新的“基督教”领地来增加自己的财富；破落的骑士阶层也为发财致富的机会所吸引，他们成为十字军的主要成员；大封建主力图扩大自己的领地和增加收入，并梦想在东方富庶的土地上建立受其支配的国家。
橙火,橙火,《橙火》是寄秋写的网络小说连载于心动言情网。
威和,威和,网站即软件，软件即服务服务出效益威和【Viewhot】是IT外包服务提供商。凭借自身的在线平台和行业渠道，承担企业IT系统或系统之上的业务流程的运营、维护和支持等事务，以帮助客户伙伴降低成本、提高效率、充分发挥自身核心竞争力和外部环境的应变能力，从而快速成长于量身定做的信息化环境。
海笛,海笛,海笛最常用的是杆长23厘米的。引流行在广东、广西、福建、湖南和江西等省。音色柔和，多用来独奏或合奏，尤以与二胡等合奏更为动听，并常为歌舞伴奏，其中流行湖南的唢呐，还用于说唱音乐“唢鼓”的伴奏。
视得乐,视得乐,德国视得乐光学公司是全球最大军用望远镜制造商，及拥有全球最大最现代化的镜片生产设备公司之一，作为世界望远镜专家，以不同寻常的军用望远镜技术的背景，60年来只专注于双筒望远镜的研究和创新，其所生产的望远镜具有自动聚焦、高清晰、坚固耐用的特点，让普通消费者能够享受到军用级望远镜的科技，在微光观察、目标跟踪、高速赛车、狩猎、观鸟、航海等户外活动甚至工业施工和线路维护中都能能发挥其独特的作用。
明治,明治大学,明治大学（MeijiUniversity），简称明大，是本部设在东京都千代田区的日本著名私立大学 ，前身为曾留学法国的岸本辰雄宫城浩蔵矢代操于1881年1月17日设立的明治法律学校。明治大学以“权力自由”、“独立自治”为基本理念，迄今为止已向社会输送了超过50万名的毕业生，为日本的发展做出了巨大贡献。 明治大学是日本极富盛名的一流难关私立大学，东京都内五大名门学府“MARCH”之一（分别为M明治大学、A青山学院大学、R立教大学、C中央大学和H法政大学），日本文部科学省选定的“超级国际化大学计划”大学之一，在日本国内享有极高的声誉。明大常年稳居日本私立大学TOP5， 与东京大学、庆应义塾大学、早稻田大学、立教大学、法政大学共同组成了“东京六大学”。作为一座文科一流的大学，明治大学的法学部、政治经济学部与商学部是其看板学部，偏差值处于日本大学排名的顶端。此外，明治大学培养出2位内阁总理大臣——三木武夫（第66任）和村山富市（第81任）。现在有15名毕业生担任国会议员（参议院、众议院）。明治大学的毕业生校友群广泛，其中不乏著名的政治家以及财经界的人才。中国著名领导人周恩来总理亦曾在该校政治经济科（现政治经济学部）求学。在日本RecruitMarketingPartners发布的大学品牌排行榜“升学”品牌力调查2016”中，明治大学连续8年位列关东地区高中生想报考的大学中首位。在2016年日本大学就职力排行中，明治大学排名第2，仅次于早稻田大学。
衣香丽影,衣香丽影,衣香丽 影 品牌诞生于2000年6月，主要从事中高档女装的设计、生产、销售、服务，以突出女性时装青春亮丽的为主旨，形成富有国际化、时尚化的品牌。公司在最初实现原始资金积累的基础上，大力拓宽市场份额，并在不断发展过程中始终坚持友情服务，与客户建立良好的战略合作关系。公司铭记“见贤思齐，闻过则喜，修身齐家，爱国爱企”的企训，把握机遇、求真务实、开拓进取，推动佰丽源向着更高更远的目标奋进！
蓝鲨,大青鲨,大青鲨（学名：Prionaceglauca）：鲨鱼的一种，体细长，2-4米。身体近似纺锤形。头宽扁，头长小于全长的四分之一；吻三角形，长而尖突。眼小，圆形。口呈半月形，上颌牙三角形，边缘具有细锯齿；下颌牙较狭而尖。上下颌各有牙28-30枚。无喷水孔。鳃孔有5个。背鳍两个，第一个背鳍不大，上角钝尖形，下角尖突形；第二个背鳍比臀鳍小。尾细长，尾鳍上下方各具有一个凹洼。胸鳍呈镰状。腹鳍小，近似方形。身体背面和上侧面为灰青色，腹面和下侧面为白色。性情凶猛，游泳敏捷。盛产于温带暖海和热带海洋。栖息于大洋上层大型鲨鱼，偶可见于沿海水域，曾有报导出现于河口区。常见于海面，贪食鱼群、鱿鱼和其他鲨鱼。大青鲨以长距离迁徙著称，例如从新英格兰到南美洲。一般情况下其行动较为迟缓，但在必要时能以极快的速度前进。大青鲨为卵胎生，一次可生4-100枚幼鲨。其主要食物来源是鱼和枪乌贼。
风雪狼,风雪狼,《风雪狼》是云中书城连载的网络小说，作者是oO神宇Oo。
育空河,育空河,育空河为北美洲主要河流之一，流经加拿大的育空地区中部和阿拉斯加中部。先往西北流，然后总的采取西南走向流过一个向下倾斜穿过阿拉斯加的地势较低的高原，注入白令海。无数的河源支流自一半圆的环绕高山群流出，构成一个面积约85万平方公里(328000平方哩)流域。这块比土耳其还要大的辽阔土地以前只有北美印第安人居住，直到19世纪中期才有欧洲裔的人（包括向东扩展的俄罗斯帝国的探险者）开始迁入该地区，开始时是来做毛皮生意，後来则是寻找矿产财富。1896年育空河支流克朗代克(Klondike)河上发现金矿，吸引来大批的拓居者。美国作家杰克·伦敦在他关于北方淘金的小说中，称育空河为“母亲河”，那里孕育着独特的北美文明，白人与印第安人曾在淘金热的大背景下共同谱写生命的高歌。
auxtun,奥古仕盾,为更好诠释晋江鞋业产业创新内涵，本次展会将筹备鞋文化“T台秀活动”。同时，还将举办第二届中国童鞋产业高峰论坛、2012年晋江运动鞋制作技能竞赛、第六届中国鞋都（晋江）海峡两岸运动鞋设计大赛、第二十五届“晋江博士后讲坛”、“喜得龙”杯第五届中国（晋江）鞋文化动漫创意大赛、中国（晋江）鞋文化cosplay邀请赛、中国（晋江）鞋文化T恤涂鸦大赛等系列配套活动。
钻神,钻神,《钻神》是连载于起点中文网的网络小说，作者是炎弓月。
Callaway,Callaway,Callaway的创办人ElyCallaway在1982年创立了Callaway高尔夫公司，在当年并不是叫做Callaway而是称做为CallawayHickoryStickUSAInc.在当时他们的主力产品则是以推杆及挖起杆为主但最特别的地方则是在于杆身，因为在当时并不是用铁制的杆身而是用Hickory木制的杆身。
SCUBAPRO,scubapro,SCUBAPRO（潜水汇）是首家全球性的潜水服务整合平台，集合了潜水商品、旅游、教学、服务于一身，是中国潜水市场的领导者。
AUCMA,澳柯玛集团,澳柯玛是全球知名的制冷装备供应商，是全球制冷家电、环保电动车和生活家电领先制造商之一。澳柯玛股份有限公司成立于1987年，总部位于山东省青岛市黄岛区。于2000年12月29日在上海证券交易所上市，证券简称澳柯玛，证券票代码600336。
SCARPA,SCARPA,SCARPA创立于20世纪40年代的意大利。60多年来，SCARPA的产品不断推陈出新，市场不断扩增，但是无论现代社会或者市场格局如何变化，SCARPA始终坚持自己的信念：科技创新是SCARPA的不变追求，SCARPA生产的户外功能鞋必须代表世界上最高质量的典范，每一双SCARPA鞋的每一个细节都要作到尽善尽美，以满足最挑剔的客户的要求。
极目,极目,极目，汉语词汇。拼音：jímù指满目；远望。语出汉王褒《四子讲德论》：“含淳咏德之声盈耳，登降揖让之礼极目。”
科迅,科迅,
兵行者,兵行者,兵行者是国内专注于野战和户外条件下装备和服装服饰的民营自主品牌。力争为部队和户外军迷打造最完美的装备和服装服饰，保证其户外运动的实用性和舒适度。产品涉及军锹工具类，伪装器材类，战术眼镜类，照明类，战术背包类，野营桌椅类，帐篷睡袋类，腰带手套类，头盔帽子类，服装类，战术鞋类800多种产品。
乐特多,乐特多,“letedo乐特多”（YOU·HOME·LIFE）是家居饰品行业的生力军，以国际化经营视野，本土化精英运营团队全力打造的实力家饰连锁品牌，产品涉及家居装饰品，并涵盖极具品味的家居生活用品，实用性、装饰性并举，目前已经推出的产品种类有：摆饰、布艺抱枕、花艺、花器、烛艺、用品等等，依托公司在出口加工贸易方面的丰富经验，正朝本土市场开发及品牌运营方向迈进，是行业内较早进行以出口为导向转为本土品牌运作的公司之一，具务良好的美誉度。为更好实现创建家居饰品行业优秀品牌这一愿景，致力于构建以“品味设计、感心服务、美誉品牌”等为核心的“letedo乐特多”价值体系，从而以对合作者、消费者的价值承诺，实现新跨跃，了解更多，可以在“百度”搜索“乐特多”登陆乐特多网站了解更多详情。
南山湖,南山湖,南山湖全长11公里，湖面面积4000余亩．四周古木参天，山清水秀．湖西南是历史上有名的双溪江，南宋大诗人李清照曾在此地居住和泛舟，留下了脍炙人口的诗篇《武陵春》：“只恐双溪舴艋舟，载不动许多愁．”朱熹与吕规叔曾在此创办鹿门书院讲学，是南宋理学的发祥地之一．湖区集密林、丽湖、陡岩、怪石、飞瀑、幽潭、秀峰、悬崖于一身，是优秀的山水风光型旅游胜景。
竞技神,竞技神,今年春天，澳大利亚陆军公布了名为“联合计划129”的发展无人机计划。以色列的“竞技神”180/450无人机因能满足澳陆军实际作战需要而进入候选装备名单，“竞技神”再次成为国际传媒视点。
红犀牛,红犀牛,《红犀牛：嘻哈狂潮》是一款完美地融合了城市文化、涂鸦和动作等多种元素的第三人称动作游戏。在本作中，你将接触到众多的涂鸦画家。游戏之初，你将扮演主涂鸦画家Trane，接着很快视角就转到了一些政府正在进行的一项会危及到所有涂鸦画家的阴谋。于是Trane就被卷入了一场冒险当中，成了NewRadius城的孤胆英雄。此外，游戏中还加入了大量的探索内容有待玩家去发掘。
吉满,吉满,会羌家姑娘独有羌矛“两头蛇”绝技。三国蜀汉大将姜维统率大军驻地夸渣（威州），引起了姜王的震惊。吉满带领四骑待从，与姜维战了十多个回合，不分胜负。后接受姜维所送桃花围腰。
E,自然常数,自然常数，是数学科的一种法则。约为2.71828，就是公式为lim(1+1/x)^xx→∞或lim(1+z)^(1/z)，z→0，是一个无限不循环小数，是为超越数。
普莱德,普莱德,普莱德（Pride），《钢之炼金术师》中以傲慢为名的人造人，名义上是大总统金·布拉德雷的养子塞利姆·布拉德雷，但实际上是“父亲大人”（烧瓶中的小人）第一个制造出的“最初的人造人”，是七名人造人（包括金·布拉德雷）中的大哥和领导。
拉根,拉根,拉根是仙人掌科植物，习性强健，喜阳光，但也耐短时间半阴。
Samsonite,新秀丽,Samsonite（新秀丽）品牌1910年始创于美国，迄今已有一百多年历史。 新秀丽在世界各地120多个国家拥有48000多个零售网点。 
动真格,特工争风,《特工争风》是由约瑟夫·麦克金提·尼彻执导，瑞茜·威瑟斯彭、克里斯·派恩、汤姆·哈迪等主演的喜剧爱情电影。该片讲述美国中情局的两位顶尖探员与一个事业有成女强人之间的爱情故事 。该电影于2012年6月19日在中国大陆上映。
山途,山途,《山途》是连载于17k小说网的网络小说，作者是山寨凉茶。
奥本,奥本,奥本（AuburnAlabama）是美国阿拉巴马州东部的一个城市，隶属于李郡(LeeCounty).距州首府蒙哥马利(Montegomery)50英里，州最大城市伯明翰(BirminghamAlabama)约99英里，距佐治亚州首府亚特兰大(AtlantaGeorgia)市区距离约101英里。奥本是一座以奥本大学为主的大学城。近年来是阿拉巴马州发展最快的城市。
GOLD,航海王之黄金城,《航海王之黄金城》是日本东映动画制作发行的剧场版动画。该片由宫元宏彰执导，尾田荣一郎担任综合制作人，剧本由黑岩勉撰写，田中真弓、中井和哉、冈村明美、山口胜平、平田广明、大谷育江等声优配音。该片于2016年7月23日在日本上映，2016年11月11日在中国内地上映 。该片是《航海王》系列的第十三部剧场版，讲述了路飞率领的草帽海贼团在黄金城遭到了算计，索隆被抓，为了救索隆，草帽一伙展开了与黄金城统治者泰佐洛的对决的故事 。
NUT,nut,
脊态,back2脊态,Back2脊态，脊柱健康护理品牌。依托“释压记忆棉”核心技术，专注于人们脊柱健康护理，英文“Back”有背部、背脊之意；同时也有回归、回溯之意；数字“2”象征着人体正常的脊柱生理曲度；Back2联合起来表达了“让脊柱回归到正常的生理状态”之意。
波力,波力,波力体事股份有限公司（BonnySports）成立于1982年，是一家专业生产制造碳纤维网球拍、壁球拍（回力球拍）、羽毛球拍、高尔夫球杆头、自行车架、滑板、乒乓球拍、曲棍球杆、滑雪杆、棒球棒等运动器材的台湾企业。增营运动服装、网羽运动鞋、旅行包袋等运动产品。公司于1992年进入大陆，工厂位于深圳，十年来生产规模不断扩大，目前员工超过一千两百人，厂房面积10000多平方米。
宅衣尚品,宅衣尚品,——宅控们的网络衣柜宅衣尚品是上海界盛贸易有限公司旗下主推的品牌。致力于打造网络购物放心舒适的新品牌，为中国的消费者提供高性价比的品牌时尚服饰。
JIANCHI,Jianchi,
mystyle,MyStyle,Mystyle，音乐专辑。歌手为BrownEyedGirls。接着L.O.V.E之后，BrownEyedGirls又卷土重来。这张非常期待的作品，BrownEyedGirls和LeeMinSoo合唱EoJjeoDa，也有电子味道非常重的第三首歌曲和NotLovingAgain由KimJaeSuk制作（Wanted）。
威赫,威赫,威赫，全名乔治·威赫，1966年出生于非洲利比里亚。威赫曾经在英国切尔西等世界顶级足球俱乐部效力，并成长为世界级的球星。威赫先后获得了欧洲足球先生（1995年金球奖）、世界足球先生（1995年）和两届非洲足球先生（1989年、1994年）。
crocs,crocs,crocs（卡骆驰）是一家总部位于美国科罗拉多州的鞋履设计、生产及零售商，以crocs品牌于市场上推出男装、女装及童装的舒适鞋款。创立于2002年，crocs鞋子最初的产品市场定位是帆船运动和户外运动者，后来因为它穿着舒适而受到不同消费者的青睐。
AZC,AZC,AZC 品牌皮鞋创立于东方明珠上海。
闪速,闪速,闪速熔炼即充分利用细磨物料的巨大活性表面，强化冶炼反应过程的熔炼方法。这种方法主要用于铜、镍等硫化矿的造锍熔炼。将细粒硫化物精矿和熔剂干燥至含水0.3%以下与空气或富氧空气一并喷入炽热的闪速炉膛内固体颗粒悬浮在紊流气流中，造成气、固、液三相间良好的传质、传热条件，使化学反应以极高的速度进行。
颂拓,颂拓,颂拓是芬兰品牌，该词来自芬兰语，意思是“方向”。Suunto的发音为“Soon-toh”（颂拓）。Suunto在芬兰问世已超过80年，当时冠军级定向运动爱好者兼户外运动热衷者TuomasVohlonen发明了充液指南针批量生产方法。从那以后，Suunto一直站在创新、手工高档运动腕表、仪器和潜水电脑领域的最前沿，打造出的产品能够经受住世界最残酷条件的考验。一直以来，人类在不停地探索。唯一变化的就是工具。
金啦啦,金啦啦,中国瑜伽用品行业最具青春活力品牌——金啦啦。金啦啦是专注于瑜伽用品研发和生产，面向广大瑜伽爱好人群的时尚新兴瑜伽用品品牌。金啦啦拥有自己的生产基地和自主研发生产能力，并致力于为广大瑜伽爱好者提供环保，舒适，时尚的瑜伽用品，打造最具青春活力的瑜伽用品品牌！
天能,天能,天能 属于天能电池集团有限公司 2003年1月29号 完成注册的一个商标。
AHOME,AHome,《AHome》是一款IOS平台的应用。
Dolce&Gabbana,杜嘉班纳,杜嘉班纳公司创立于1985年，总部位于意大利米兰。今天已成为在奢侈品领域中最主要的国际集团之一。两位奠基人DomenicoDolce和StefanoGabbana一直以来都是公司的两个品牌——Dolce&Gabbana和D&GDolce&Gabbana的创造和设计源泉，也是以平衡发展和致力于核心业务为特征的成长策略的最初倡导人。他们的时装店总部设在米兰，其与Gucci和Prada等响彻世界的一线奢侈品牌共同振兴了意大利的时装工业。产品系列：女装、男装、内衣泳装、香水、配饰、皮具、手表、眼镜。
BH,b型h系,《B型H系》是一部少女四格漫画，作者是山里阳子，最早于2003年不定期刊载于《周刊YoungJump》之上，从2004年开始正式连载。高中生为主角，用轻松诙谐的角度来描述工口。
百嘉,百嘉,百嘉，汉语词汇，拼音bǎijiā，意思是众善；各种好事。
麦希,麦希,Macce（麦希）为郎希自行车与丹麦自行车设计公司联合设计研发的自行车品牌。由于该品牌的车架材质全部使用铬钼钢（Cr-Mo），所以专业人士又称之为“铬钼钢全系列”。麦希将丹麦自行车设计理念引入国内，是中国第一个纯铬钼钢车架的自行车品牌。铬钼钢车架相对铝合金车架吸震效果更佳，强度更高。在国外铬钼钢车架已经十分盛行，由于造价昂贵，国内却极为罕见。麦希所使用的铬钼钢管材全部从国外进口，性能优越，品质更佳。
旷奇,旷奇,旷奇（旷奇），汉语词汇，拼音是kuàngqí，注音是ㄎㄨㄤˋㄑㄧˊ，旷世少有。
型录,型录,天津型录互联网科技有限公司隶属于天创时尚集团(广州天创时尚鞋业股份有限公司)，成立于2015年，并创立了“型录”，”MUSTHAVE”品牌，品牌定位于为男性提供多生活场景全品类搭配产品的一站化品牌商。品牌注册：型录;MUSTHAVE。
蝴蝶牌,蝴蝶牌,蝴蝶牌是泰国佛牌的一种，蝴蝶牌的创始人是泰国北部高僧古巴杰士纳大师，其中古巴杰士纳大师制造最为出名。佛牌中的蝴蝶形象栩栩如生，于短短数年间，传到东南亚各地，由以人缘及带来好运十分强劲著称。
寻梦者,寻梦者,《寻梦者》是一首唱出寻梦者美丽灵魂的歌。诗中，诗人以“寻梦者自喻”，通过“做梦—寻梦—再次入梦“的描述，唱出了诗人寻求理想、憧憬光明、历经磨难、上下求索的心路历程。诗歌运用象征手法，以“金色的贝”作为象征喻体，描摹出了寻梦者追逐理想的过程。 
PING,ping,Ping是Windows、Unix和Linux系统下的一个命令。ping也属于一个通信协议，是TCP/IP协议的一部分。利用“ping”命令可以检查网络是否连通，可以很好地帮助我们分析和判定网络故障。应用格式：Ping空格IP地址。该命令还可以加许多参数使用，具体是键入Ping按回车即可看到详细说明。
TFO,TFO,TFO，即TheFutureOfficer，未来指挥官。8月28日，一下科技创始人、董事长兼CEO韩坤宣布，超人气组合TFBOYS以TFO(TheFutureOfficer)未来指挥官的身份入职一下科技，这也是迄今为止全球首个TFO。
公羊,道奇公羊,道奇公羊是汽车品牌道奇旗下的一款汽车型号。道奇公羊汽车的外形更加紧凑，前脸短小，与前挡风玻璃有弧形过渡，显得整体感略好。发行28年的道奇公羊汽车于2003年3月31日在北美下线。在2014年12月19日，克莱斯勒宣布，将在美国召回近25.7万辆2005款公羊(Ram)1500皮卡，因为这些车辆的后轴齿轮螺母可能松脱，有导致后轴锁死或传动轴脱落的情况发生。
力飞士,力飞士,力飞士（LIFIX)集团公司成立于1995年，总部设立在澳洲墨尔本南部的Frankston，早期经营户外绳索，力飞士户外绳索被广泛应用户外活动中，之后因澳洲钓鱼运动的兴起，公司决定开始进入渔线市场，专门成立部门研发并在海外生产渔线产品。
小伙伴,小伙伴,小伙伴论坛，成立于2013年8月。小伙伴论坛是宠物论坛，主要方向为水族板块。由于80后90后都是独生子女，因此他们比父一辈更孤单，他们的伙伴可能就不仅限制在人，范围已经扩大到宠物群体。因此暑假作文，都可以看到知了叫嚣着的夏天，我们一起摸鱼度过的夏天这些字眼。当然还有蚊子，蜻蜓，螳螂，蟋蟀等等。正因为这些宠物的存在，让我们原本单调的生活增添了一份色彩。正因为特殊的生活环境下，我们往往对宠物的情感大过对人类的依赖。因此小伙伴成了宠物的代名词。随着社会的发展，人与人之间的尔虞我诈，导致了人们对人际的信赖度降低。所以在特殊的情况下，越来越多的人开始将宠物视为自己的精神支柱。越来越多独居老人都开始养起了猫，狗这些都是最好的证明。
GE,通用电气公司,通用电气公司，即美国通用电气公司（GeneralElectricCompany，简称GE，创立于1892年，又称奇异公司，NYSE：GE），是世界上最大的提供技术和服务业务的跨国公司。自从托马斯·爱迪生创建了通用电气公司以来，GE在公司多元化发展当中逐步成长为出色的跨国公司。目前，公司业务遍及世界上100多个国家，拥有员工315000人。 2016年10月，通用电气公司排2016年全球100大最有价值品牌第十名。 美国通用电气公司2017年6月1日宣布，在天津空港经济区启用其首个美国以外、服务于多个业务部门的智能制造技术中心。 在2017年6月7日发布的2017年《财富》美国500强排行榜中，排名第十三。 2017年6月，《2017年BrandZ最具价值全球品牌100强》公布，通用电气公司排名第19位。 
